Librosa_SpectralCQT_Cluster4

BulletProof_Librosa_SpectralCQT_Cluster4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.046439909297052155,NA,NA,NA,NA,NA,NA,NA
2,48.83156462585034,48.667538,2,0.16402662585034022,48.000488,0.8310766258503435,48.000488,0.8310766258503435
3,65.41061224489796,65.335318,3,0.075294244897961,66.668648,-1.2580357551020427,69.335308,-3.924695755102036
4,103.70031746031746,103.999708,1,-0.29939053968253404,103.999708,-0.29939053968253404,114.666348,-10.966030539682535
5,135.04725623582766,135.332857,4,-0.2856007641723295,135.999284,-0.9520277641723283,135.999284,-0.9520277641723283
6,150.76716553287983,150.666278,3,0.100887532879824,151.999608,-1.2324424671201655,157.332928,-6.56576246712018
7,166.1619954648526,165.999573,2,0.1624224648525967,165.332908,0.8290874648525914,157.332928,8.829067464852585
8,197.34639455782312,197.332828,1,0.013566557823111225,197.332828,0.013566557823111225,199.999488,-2.653093442176896
9,205.1482993197279,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.15731267573695668,,0.7736610249433024,,4.960250579850986
Proximity Scores,,,,0.23596960352944382,,1.16049443865105,,7.440394470762655
Percent of ground truth boundaries,0.4444444444444444
Percent of ground truth boundaries found,0.3076923076923077
Average time between beats,0.6666650000000001

CallMeMaybe_Librosa_SpectralCQT_Cluster4.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,3.7616326530612243,NA,NA,NA,NA,NA,NA,NA
2,8.777142857142858,8.666645,2,0.11049785714285676,7.99998,0.7771628571428577,5.33332,3.443822857142858
3,32.507936507936506,32.667287,2,-0.1593504920634956,32.000772,0.5071645079365084,26.6666,5.841336507936507
4,64.76045351473923,64.668653,2,0.09180051473921935,64.001988,0.7584655147392283,69.335308,-4.574854485260772
5,67.91836734693878,68.001978,3,-0.08361065306121418,66.668648,1.2497193469387753,69.335308,-1.4169406530612179
6,92.5082993197279,92.666403,4,-0.15810368027210586,93.333068,-0.8247686802721006,90.666408,1.8418913197278926
